parentApplication,parentApplicationId,parentApplicationSelfLink,name,id,globalAppId,status,health,activeAlerts,enhancedAnalytics,deploymentType,tenantName,applicationName,target,hostname,destinationTarget,destinationHostname,newApplicationName
nbcu-2988990 - Federation-SSO,6a7d4f75-11ed-3074-ba20-68bc8102c459,https://localhost/mgmt/cm/global/global-apps/6a7d4f75-11ed-3074-ba20-68bc8102c459,stg-2988990_f5dns.fssostg2023.glb.incbu.com,75c2351b-b87b-3559-9077-3d86f0c21f29,6a7d4f75-11ed-3074-ba20-68bc8102c459,DEPLOYED,Good,0,FALSE,AS3,stg-2988990,f5dns.fssostg2023.glb.incbu.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-2988990 - Federation-SSO,6a7d4f75-11ed-3074-ba20-68bc8102c459,https://localhost/mgmt/cm/global/global-apps/6a7d4f75-11ed-3074-ba20-68bc8102c459,stg-2988990_f5dns.fsstemp.glb.stg-tfayd.com,cd0ba260-e369-3d83-bf84-19e20b7c6b15,6a7d4f75-11ed-3074-ba20-68bc8102c459,DEPLOYED,Good,0,FALSE,AS3,stg-2988990,f5dns.fsstemp.glb.stg-tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-2988990 - Federation-SSO,6a7d4f75-11ed-3074-ba20-68bc8102c459,https://localhost/mgmt/cm/global/global-apps/6a7d4f75-11ed-3074-ba20-68bc8102c459,stg-2988990-ssologin_f5dns.ssologin.glb.tfayd.com,2533fb5b-0bf9-3486-aad9-04f5aa4b877c,6a7d4f75-11ed-3074-ba20-68bc8102c459,DEPLOYED,Good,0,FALSE,AS3,stg-2988990-ssologin,f5dns.ssologin.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7010727 - Slaac - Prod Corp,b067715f-aacc-3eb3-89ff-df8c3a59604b,https://localhost/mgmt/cm/global/global-apps/b067715f-aacc-3eb3-89ff-df8c3a59604b,gns-7010727_f5dns.slaac-deployment.glb.inbcu.com,a4bf3ccd-5696-351b-8274-1fc3588ed4a5,b067715f-aacc-3eb3-89ff-df8c3a59604b,DEPLOYED,Good,0,FALSE,AS3,gns-7010727,f5dns.slaac-deployment.glb.inbcu.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-4923430 - Lacuna International - DR,a50ca563-0c71-30bf-9f00-dd35d5eae352,https://localhost/mgmt/cm/global/global-apps/a50ca563-0c71-30bf-9f00-dd35d5eae352,gns-4923430_f5dns.lacuna.inbcu.com,55f2be12-6b29-3a76-86da-c2402d46be16,a50ca563-0c71-30bf-9f00-dd35d5eae352,DEPLOYED,Critical,2,FALSE,AS3,gns-4923430,f5dns.lacuna.inbcu.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7018858 - NBCUnow - Intranet 3.0,8024fae0-1584-3358-9879-4a00aad4e09d,https://localhost/mgmt/cm/global/global-apps/8024fae0-1584-3358-9879-4a00aad4e09d,gns-7018858_f5dns.wwwnbcunow.glb.inbcu.com,bffdacca-c672-3dc2-b5f5-687c0a671f5c,8024fae0-1584-3358-9879-4a00aad4e09d,DEPLOYED,Critical,2,FALSE,AS3,gns-7018858,f5dns.wwwnbcunow.glb.inbcu.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011318 - CyberArk,6d5bf754-a5df-3b56-a34f-887e3ec84df2,https://localhost/mgmt/cm/global/global-apps/6d5bf754-a5df-3b56-a34f-887e3ec84df2,gns-7011318-hpam_f5dns.hpam.glb.inbcu.com,9a5c7017-14b6-38d6-a491-f150fd96b77f,6d5bf754-a5df-3b56-a34f-887e3ec84df2,DEPLOYED,Good,0,FALSE,AS3,gns-7011318-hpam,f5dns.hpam.glb.inbcu.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011318 - CyberArk,6d5bf754-a5df-3b56-a34f-887e3ec84df2,https://localhost/mgmt/cm/global/global-apps/6d5bf754-a5df-3b56-a34f-887e3ec84df2,gns-7011318_f5dns.ccp.hpam.glb.inbcu.com,134a8770-5493-32d7-9394-289fd9c9bf5a,6d5bf754-a5df-3b56-a34f-887e3ec84df2,DEPLOYED,Good,0,FALSE,AS3,gns-7011318,f5dns.ccp.hpam.glb.inbcu.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011318 - CyberArk,6d5bf754-a5df-3b56-a34f-887e3ec84df2,https://localhost/mgmt/cm/global/global-apps/6d5bf754-a5df-3b56-a34f-887e3ec84df2,stg-7011318_f5dns.stghpam.glb.stg-tfayd.com,0b6a51c4-a09c-3a47-af6c-5cbba19e40aa,6d5bf754-a5df-3b56-a34f-887e3ec84df2,DEPLOYED,Good,0,FALSE,AS3,stg-7011318,f5dns.stghpam.glb.stg-tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011318 - CyberArk,6d5bf754-a5df-3b56-a34f-887e3ec84df2,https://localhost/mgmt/cm/global/global-apps/6d5bf754-a5df-3b56-a34f-887e3ec84df2,gns-7011318_f5dns.psm.glb.inbcu.com,0d7f2027-5bd4-3f27-a5d6-1bd3dc2ae935,6d5bf754-a5df-3b56-a34f-887e3ec84df2,DEPLOYED,Good,0,FALSE,AS3,gns-7011318,f5dns.psm.glb.inbcu.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011318 - CyberArk,6d5bf754-a5df-3b56-a34f-887e3ec84df2,https://localhost/mgmt/cm/global/global-apps/6d5bf754-a5df-3b56-a34f-887e3ec84df2,stg-7011318_f5dns.stgrdp.glb.stg-tfayd.com,27e3706e-bfe8-385c-bb5d-9bf1a6d58c5e,6d5bf754-a5df-3b56-a34f-887e3ec84df2,DEPLOYED,Critical,2,FALSE,AS3,stg-7011318,f5dns.stgrdp.glb.stg-tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011318 - CyberArk,6d5bf754-a5df-3b56-a34f-887e3ec84df2,https://localhost/mgmt/cm/global/global-apps/6d5bf754-a5df-3b56-a34f-887e3ec84df2,stg-7011318_f5dns.stg-ccp.glb.stg-tfayd.com,05586a6a-e409-37e3-9f64-be314229bebf,6d5bf754-a5df-3b56-a34f-887e3ec84df2,DEPLOYED,Critical,2,FALSE,AS3,stg-7011318,f5dns.stg-ccp.glb.stg-tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
